,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,23,13,10,.565,-2.90,-5.05,8,4,10,2,3,8,1733,1472,,935,602,1366,.441,163,524,.311,366,496,.738,262,791,344,212,60,328,485
2,Air Force,25,9,16,.360,-0.53,2.88,3,10,6,6,3,7,1838,1863,,1000,618,1358,.455,215,574,.375,387,519,.746,178,810,354,124,39,305,424
3,Akron,24,18,6,.750,7.97,-0.53,8,3,12,2,5,3,1823,1569,,960,618,1390,.445,229,604,.379,358,461,.777,236,896,329,117,68,320,421
4,Alabama A&M,22,6,16,.273,-18.22,-8.27,3,8,4,3,2,12,1390,1609,,885,499,1310,.381,121,434,.279,271,388,.698,217,757,238,132,44,258,387
5,Alabama-Birmingham,25,14,11,.560,-1.42,-0.95,5,7,8,6,4,5,1641,1607,,1000,604,1346,.449,130,407,.319,303,439,.690,268,923,253,139,73,368,409
6,Alabama State,24,7,17,.292,-15.15,-4.90,6,5,3,1,2,13,1482,1728,,960,520,1314,.396,161,510,.316,281,449,.626,206,760,249,138,43,374,466
7,Alabama,23,13,10,.565,12.28,7.85,5,5,8,3,3,5,1900,1798,,935,644,1446,.445,234,672,.348,378,533,.709,255,930,321,147,108,361,459
8,Albany (NY),24,13,11,.542,-6.71,-6.27,6,3,7,4,4,7,1642,1626,,965,551,1317,.418,194,568,.342,346,486,.712,193,836,318,133,67,334,408
9,Alcorn State,22,10,12,.455,-14.23,-7.12,6,5,7,1,3,11,1679,1622,,885,593,1385,.428,203,546,.372,290,389,.746,265,831,304,183,67,312,399
10,American,23,12,11,.522,-5.83,-5.83,8,4,7,3,5,8,1641,1641,,925,605,1337,.453,164,480,.342,267,376,.710,201,748,297,168,79,287,404
11,Appalachian State,25,14,11,.560,0.07,0.28,8,6,8,3,5,7,1715,1661,,1005,598,1368,.437,166,525,.316,353,538,.656,253,899,291,183,58,342,389
12,Arizona State,23,15,8,.652,11.46,7.15,6,4,10,2,4,3,1684,1585,,920,604,1430,.422,165,518,.319,311,453,.687,237,855,255,183,82,305,426
13,Arizona,23,16,7,.696,20.36,7.45,6,4,11,2,2,4,1812,1515,,925,636,1383,.460,169,470,.360,371,505,.735,249,870,364,153,86,259,415
14,Little Rock,25,18,7,.720,2.70,-1.34,12,2,11,2,7,5,1818,1703,,1000,630,1341,.470,156,445,.351,402,563,.714,255,896,372,179,89,400,459
15,Arkansas-Pine Bluff,23,3,20,.130,-20.74,-4.06,2,9,1,6,2,14,1206,1565,,920,442,1119,.395,87,311,.280,235,400,.588,194,705,212,173,76,405,468
16,Arkansas State,25,15,10,.600,-1.87,-0.79,7,7,10,5,5,5,1785,1783,,1010,582,1311,.444,149,419,.356,472,668,.707,236,813,361,168,73,316,516
17,Arkansas,24,16,8,.667,13.86,6.28,4,7,11,3,4,5,1783,1601,,980,608,1393,.436,171,543,.315,396,550,.720,185,784,283,210,95,289,474
18,Army,23,11,12,.478,-10.16,-6.43,6,6,5,5,6,7,1621,1666,,925,631,1323,.477,163,502,.325,196,325,.603,154,768,374,128,36,290,350
19,Auburn,23,21,2,.913,16.04,6.17,8,2,13,0,4,2,1830,1603,,945,611,1397,.437,196,620,.316,412,611,.674,316,955,305,140,120,302,428
20,Austin Peay,25,16,9,.640,-0.13,-3.52,10,2,11,0,4,8,1932,1792,,1000,681,1466,.465,176,502,.351,394,540,.730,292,873,334,174,77,322,457
21,Ball State,24,14,10,.583,4.41,-1.72,7,4,8,3,4,5,1667,1482,,960,588,1380,.426,218,650,.335,273,410,.666,219,854,331,166,83,305,369
22,Baylor,23,22,1,.957,20.07,6.85,11,0,11,0,7,0,1646,1342,,920,582,1360,.428,178,506,.352,304,435,.699,305,875,316,178,106,271,375
23,Belmont,25,18,7,.720,4.55,-5.87,9,3,10,1,8,5,2016,1717,,1000,754,1591,.474,253,713,.355,255,355,.718,223,957,467,183,80,309,393
24,Bethune-Cookman,24,12,12,.500,-9.59,-7.17,6,4,7,1,3,11,1823,1770,,960,641,1479,.433,149,455,.327,392,562,.698,277,915,300,179,62,366,485
25,Binghamton,23,8,15,.348,-15.74,-4.69,2,8,6,5,2,10,1590,1748,,925,574,1401,.410,225,680,.331,217,304,.714,236,819,274,112,75,305,366
26,Boise State,26,17,9,.654,8.60,3.28,9,5,12,1,3,7,2020,1810,,1065,687,1510,.455,222,639,.347,424,566,.749,212,890,333,148,38,314,447
27,Boston College,24,12,12,.500,3.24,6.74,6,7,7,7,4,5,1557,1641,,965,555,1372,.405,162,540,.300,285,433,.658,217,802,295,197,70,332,383
28,Boston University,26,15,11,.577,-2.10,-5.10,9,4,8,3,7,6,1884,1781,,1050,717,1538,.466,174,539,.323,276,417,.662,258,922,331,151,54,296,396
29,Bowling Green State,25,18,7,.720,0.50,-0.32,9,3,11,1,4,3,1885,1823,,1010,681,1605,.424,194,583,.333,329,447,.736,278,991,311,142,60,260,449
30,Bradley,25,16,9,.640,5.28,-0.09,7,5,13,1,2,7,1776,1614,,1000,631,1442,.438,170,461,.369,344,467,.737,287,973,339,121,96,311,416
31,Brigham Young,26,19,7,.731,16.99,6.51,8,3,12,1,3,5,2092,1795,,1055,784,1544,.508,277,649,.427,247,349,.708,162,861,460,141,52,293,430
32,Brown,19,11,8,.579,-3.43,-0.88,4,2,10,2,1,6,1312,1332,,760,450,1097,.410,135,421,.321,277,388,.714,243,748,241,123,87,309,329
33,Bryant,24,12,12,.500,-5.35,-5.79,4,7,8,4,4,8,1704,1645,,965,604,1453,.416,216,670,.322,280,409,.685,276,941,339,177,106,352,456
34,Bucknell,25,9,16,.360,-8.41,-3.05,5,7,6,4,2,10,1707,1841,,1000,599,1445,.415,201,602,.334,308,424,.726,226,814,299,180,88,342,488
35,Buffalo,24,15,9,.625,1.29,-0.41,6,5,8,5,4,3,1873,1797,,960,700,1601,.437,193,607,.318,280,429,.653,360,1022,370,198,115,347,432
36,Butler,24,18,6,.750,15.50,7.83,6,5,11,2,4,4,1653,1469,,965,599,1290,.464,157,459,.342,298,406,.734,206,843,308,120,63,273,405
37,Cal Poly,23,7,16,.304,-9.46,0.73,4,5,7,3,0,11,1526,1693,,930,538,1273,.423,147,425,.346,303,444,.682,182,738,224,150,60,322,462
38,Cal State Bakersfield,24,10,14,.417,-5.29,-1.29,4,5,7,5,3,9,1694,1658,,985,628,1420,.442,128,384,.333,310,450,.689,320,916,294,158,76,335,532
39,Cal State Fullerton,25,9,16,.360,-7.04,-1.04,4,6,4,7,4,8,1677,1744,,1005,590,1375,.429,156,471,.331,341,501,.681,194,824,281,141,75,322,443
40,Cal State Northridge,25,10,15,.400,-7.31,-0.48,5,4,7,3,3,11,1862,1950,,1000,673,1494,.450,191,524,.365,325,452,.719,221,828,353,145,73,294,438
41,California Baptist,24,17,7,.708,-0.72,-6.34,7,3,12,5,5,2,1913,1688,,965,644,1444,.446,232,618,.375,393,510,.771,280,978,353,97,87,313,448
42,UC-Davis,25,10,15,.400,-5.47,-2.08,4,5,5,3,4,10,1800,1772,,1010,637,1400,.455,196,515,.381,330,429,.769,190,771,321,152,46,323,466
43,UC-Irvine,25,15,10,.600,3.56,-1.35,7,2,9,1,4,8,1856,1640,,1000,691,1481,.467,146,440,.332,328,442,.742,297,1012,374,163,91,354,486
44,UC-Riverside,25,14,11,.560,-4.29,-4.51,4,5,10,2,4,9,1646,1537,,1000,595,1353,.440,206,586,.352,250,362,.691,224,913,320,122,58,331,434
45,UC-Santa Barbara,24,16,8,.667,-0.09,-4.13,5,4,10,3,6,5,1728,1599,,965,605,1287,.470,151,446,.339,367,477,.769,245,827,324,109,57,291,408
46,University of California,23,10,13,.435,2.43,7.69,4,6,10,3,0,7,1441,1562,,930,516,1208,.427,115,335,.343,294,409,.719,185,752,214,92,56,299,429
47,Campbell,25,12,13,.480,-9.32,-7.89,3,10,6,4,5,8,1722,1678,,1005,628,1378,.456,196,570,.344,270,368,.734,187,758,369,193,68,330,443
48,Canisius,23,9,14,.391,-6.29,-4.59,4,8,6,3,2,10,1593,1632,,920,587,1313,.447,138,456,.303,281,407,.690,225,753,326,176,57,352,446
49,Central Arkansas,24,8,16,.333,-10.93,-1.06,7,6,6,3,2,12,1804,2011,,990,600,1448,.414,190,593,.320,414,588,.704,260,928,349,131,127,417,497
50,Central Connecticut State,25,2,23,.080,-21.67,-3.67,1,11,2,7,0,14,1541,1939,,1000,557,1423,.391,155,454,.341,272,414,.657,211,780,252,169,81,358,469
51,Central Florida,23,13,10,.565,4.79,3.14,4,7,8,4,3,5,1572,1534,,920,565,1321,.428,159,499,.319,283,408,.694,241,821,309,141,75,311,380
52,Central Michigan,23,13,10,.565,-1.09,-0.39,6,4,11,2,2,8,1870,1741,,920,652,1480,.441,191,558,.342,375,506,.741,255,846,276,218,57,289,355
53,Charleston Southern,25,12,13,.480,-12.55,-5.95,6,7,7,4,5,8,1743,1811,,1015,629,1458,.431,197,614,.321,288,398,.724,204,809,335,159,60,332,408
54,Charlotte,23,14,9,.609,1.79,-2.26,8,4,12,1,2,8,1573,1480,,935,547,1181,.463,146,429,.340,333,474,.703,148,745,281,180,81,322,357
55,Chattanooga,25,15,10,.600,-0.66,-1.62,6,6,8,3,5,7,1807,1707,,1005,655,1448,.452,217,601,.361,280,402,.697,238,880,356,117,41,309,385
56,Chicago State,25,4,21,.160,-27.82,-2.32,0,10,3,10,1,9,1569,2062,,1000,526,1276,.412,144,441,.327,373,518,.720,188,744,263,134,67,447,517
57,Cincinnati,23,15,8,.652,12.97,6.10,8,3,10,1,3,5,1668,1510,,940,593,1315,.451,150,470,.319,332,486,.683,246,864,344,150,111,328,410
58,Citadel,23,6,17,.261,-12.09,-1.19,0,12,3,8,3,9,1772,1833,,935,622,1418,.439,216,657,.329,312,455,.686,211,828,348,163,60,365,407
59,Clemson,23,11,12,.478,8.93,7.23,5,8,9,5,1,6,1513,1474,,935,543,1301,.417,187,606,.309,240,359,.669,195,787,297,161,56,283,348
60,Cleveland State,25,9,16,.360,-11.37,-2.25,5,7,6,6,1,10,1583,1777,,1000,553,1336,.414,89,309,.288,388,569,.682,275,859,276,200,67,394,501
61,Coastal Carolina,25,13,12,.520,-0.83,-0.09,6,8,8,8,5,3,1950,1896,,1000,684,1536,.445,189,564,.335,393,556,.707,337,1006,334,196,76,399,539
62,Colgate,26,20,6,.769,1.30,-4.50,11,2,10,1,9,5,1954,1770,,1045,705,1574,.448,264,732,.361,280,367,.763,245,934,369,147,79,291,393
63,College of Charleston,25,15,10,.600,2.49,-0.64,9,4,8,5,6,3,1785,1684,,1000,616,1394,.442,192,551,.348,361,467,.773,206,845,271,155,66,269,430
64,Colorado State,26,17,9,.654,8.28,4.52,8,5,10,4,4,4,1985,1866,,1060,699,1472,.475,214,578,.370,371,547,.678,222,912,411,176,53,332,384
65,Colorado,24,19,5,.792,17.47,7.56,8,3,12,2,3,3,1740,1502,,965,580,1309,.443,184,495,.372,396,535,.740,243,892,333,151,75,323,348
66,Columbia,22,6,16,.273,-9.33,-3.48,1,5,5,3,0,12,1472,1565,,885,549,1317,.417,162,505,.321,212,299,.709,173,771,264,119,76,265,327
67,Connecticut,23,13,10,.565,10.06,4.36,4,6,10,3,1,5,1630,1499,,950,570,1381,.413,162,493,.329,328,455,.721,291,882,291,158,152,330,431
68,Coppin State,26,8,18,.308,-13.94,-6.75,4,7,4,5,4,13,1750,1937,,1050,620,1585,.391,206,760,.271,304,481,.632,258,1007,263,173,75,381,468
69,Cornell,19,5,14,.263,-8.28,-2.16,2,4,5,3,0,11,1282,1317,,765,471,1091,.432,139,455,.305,201,289,.696,182,648,283,131,52,225,309
70,Creighton,24,18,6,.750,14.96,8.30,7,4,13,1,4,4,1855,1665,,965,661,1418,.466,223,598,.373,310,425,.729,192,843,363,147,54,261,368
71,Dartmouth,21,7,14,.333,-6.08,-2.93,0,6,3,3,3,10,1349,1363,,850,503,1160,.434,148,459,.322,195,298,.654,143,730,254,100,51,268,372
72,Davidson,23,12,11,.522,8.22,2.83,6,5,8,1,3,6,1661,1537,,945,583,1297,.449,215,593,.363,280,364,.769,183,760,319,132,56,260,376
73,Dayton,24,22,2,.917,19.59,3.63,11,0,14,0,5,0,1959,1576,,975,716,1369,.523,201,547,.367,326,445,.733,196,842,438,151,89,302,405
74,Delaware State,23,3,20,.130,-22.58,-6.92,2,7,3,8,0,11,1619,1913,,920,569,1410,.404,167,544,.307,314,467,.672,231,793,240,158,44,367,467
75,Delaware,25,18,7,.720,-1.96,-4.46,8,4,9,2,5,4,1869,1763,,1005,673,1402,.480,195,542,.360,328,433,.758,186,845,327,137,81,320,405
76,Denver,25,5,20,.200,-10.64,-1.98,1,10,4,8,0,11,1706,1897,,1005,608,1371,.443,130,393,.331,360,530,.679,169,819,272,147,52,344,513
77,DePaul,24,13,11,.542,9.76,6.98,1,10,9,6,4,5,1749,1656,,970,640,1437,.445,142,446,.318,327,500,.654,279,915,342,204,127,353,475
78,Detroit Mercy,25,6,19,.240,-9.39,-0.75,4,8,4,5,1,13,1734,1950,,1000,576,1479,.389,219,676,.324,363,460,.789,274,892,270,144,80,347,433
79,Drake,25,16,9,.640,1.46,-0.11,6,6,12,1,2,7,1761,1662,,1000,651,1403,.464,187,543,.344,272,384,.708,197,847,394,143,91,316,420
80,Drexel,25,13,12,.520,-4.19,-2.15,6,6,10,3,1,9,1730,1746,,1005,622,1415,.440,186,531,.350,300,423,.709,269,901,359,150,74,380,400
81,Duke,24,21,3,.875,24.08,7.54,11,2,11,2,7,1,1982,1585,,970,723,1507,.480,167,476,.351,369,527,.700,309,956,388,210,141,328,425
82,Duquesne,23,17,6,.739,7.37,0.32,7,4,9,2,3,2,1646,1484,,925,576,1292,.446,182,557,.327,312,422,.739,223,798,325,157,136,295,345
83,East Carolina,24,10,14,.417,-2.31,-0.15,4,7,8,5,1,7,1655,1707,,960,572,1361,.420,132,464,.284,379,523,.725,243,860,337,153,76,328,499
84,East Tennessee State,25,21,4,.840,7.95,-0.82,10,2,13,1,8,3,1908,1561,,1000,680,1434,.474,190,557,.341,358,533,.672,280,895,355,222,97,298,431
85,Eastern Illinois,24,12,12,.500,-4.66,-7.03,5,7,8,1,3,10,1804,1659,,960,668,1456,.459,162,462,.351,306,456,.671,261,891,331,184,113,312,403
86,Eastern Kentucky,25,12,13,.480,-11.04,-4.73,9,3,8,3,4,8,1898,1921,,1000,652,1605,.406,216,669,.323,378,523,.723,265,844,322,243,54,349,460
87,Eastern Michigan,24,13,11,.542,-3.73,1.17,3,8,8,3,3,8,1559,1515,,960,538,1271,.423,136,476,.286,347,554,.626,239,842,234,253,81,366,408
88,Eastern Washington,23,16,7,.696,0.93,-1.03,9,3,9,1,7,6,1877,1697,,930,684,1479,.462,217,613,.354,292,433,.674,241,891,405,174,93,309,449
89,Elon,26,9,17,.346,-8.71,-1.53,5,8,7,7,2,10,1776,1863,,1045,605,1484,.408,254,713,.356,312,422,.739,221,874,341,126,49,313,506
90,Evansville,25,9,16,.360,-7.21,-0.05,0,12,5,7,3,7,1709,1863,,1030,594,1402,.424,188,599,.314,333,459,.725,181,815,304,120,58,324,409
91,Fairfield,23,9,14,.391,-8.71,-4.45,5,7,4,5,4,7,1373,1471,,935,489,1213,.403,113,356,.317,282,401,.703,230,788,216,120,66,331,367
92,Fairleigh Dickinson,22,6,16,.273,-11.86,-4.34,4,7,4,4,2,12,1529,1638,,890,556,1264,.440,150,442,.339,267,371,.720,202,725,248,133,76,289,361
93,Florida A&M,22,9,13,.409,-11.02,-3.79,7,4,6,0,3,11,1458,1617,,890,537,1291,.416,84,297,.283,300,469,.640,254,761,225,164,39,336,425
94,Florida Atlantic,25,14,11,.560,-2.00,-1.73,6,6,12,3,2,8,1768,1709,,1010,639,1502,.425,204,627,.325,286,413,.692,274,924,300,186,51,346,424
95,Florida Gulf Coast,26,7,19,.269,-11.22,-3.18,4,7,5,9,2,10,1591,1748,,1050,584,1444,.404,181,598,.303,242,350,.691,266,888,330,159,103,409,413
96,Florida International,25,17,8,.680,0.82,-2.36,8,4,11,1,5,6,1962,1811,,1005,712,1542,.462,233,644,.362,305,465,.656,264,911,376,233,163,387,439
97,Florida State,24,20,4,.833,16.66,6.62,10,3,12,0,5,4,1803,1562,,970,651,1425,.457,182,508,.358,319,415,.769,256,824,320,223,137,320,412
98,Florida,23,14,9,.609,13.18,8.18,6,4,8,3,2,5,1657,1542,,930,585,1315,.445,158,476,.332,329,454,.725,242,829,263,139,89,272,396
99,Fordham,23,7,16,.304,-4.60,-0.38,1,10,6,8,0,6,1324,1421,,935,475,1248,.381,168,520,.323,206,333,.619,188,758,260,165,64,284,393
100,Fresno State,24,8,16,.333,1.90,3.64,4,9,5,6,3,9,1652,1647,,980,570,1358,.420,215,648,.332,297,417,.712,262,882,286,121,86,310,403
101,Furman,25,20,5,.800,7.76,-1.37,10,2,11,1,8,4,1949,1656,,1010,705,1464,.482,246,687,.358,293,429,.683,200,804,382,203,71,295,378
102,Gardner-Webb,24,10,14,.417,-6.55,-5.32,6,6,4,5,4,9,1722,1711,,995,594,1382,.430,197,549,.359,337,482,.699,244,852,333,157,99,317,391
103,George Mason,23,13,10,.565,0.65,0.65,2,8,9,4,1,6,1565,1565,,925,553,1326,.417,142,460,.309,317,453,.700,275,858,255,150,109,296,376
104,George Washington,24,10,14,.417,-3.74,-0.69,4,7,7,6,1,7,1605,1678,,980,561,1331,.421,181,563,.321,302,417,.724,195,807,294,127,105,300,394
105,Georgetown,24,14,10,.583,11.93,8.30,4,7,10,5,3,4,1843,1756,,960,652,1474,.442,149,439,.339,390,505,.772,297,954,377,152,106,327,387
106,Georgia Southern,25,15,10,.600,0.14,-1.60,9,5,9,2,5,7,1905,1781,,1000,669,1542,.434,218,656,.332,349,506,.690,256,882,308,202,105,313,412
107,Georgia State,25,16,9,.640,3.74,-0.31,9,5,9,1,6,8,1972,1780,,1010,700,1582,.442,216,584,.370,356,484,.736,302,937,367,210,104,353,516
108,Georgia Tech,24,11,13,.458,9.17,9.21,5,8,6,6,4,6,1635,1608,,970,616,1367,.451,124,414,.300,279,426,.655,232,863,328,166,116,382,447
109,Georgia,23,12,11,.522,8.63,7.00,2,8,10,3,2,6,1767,1728,,935,641,1420,.451,162,531,.305,323,468,.690,282,886,321,176,79,340,426
110,Gonzaga,26,25,1,.962,23.36,1.70,11,0,14,0,9,0,2302,1739,,1045,833,1611,.517,205,524,.391,431,632,.682,294,1051,447,207,107,293,383
111,Grambling,24,13,11,.542,-12.09,-7.74,7,4,8,2,5,8,1739,1661,,960,645,1414,.456,114,385,.296,335,496,.675,259,887,319,175,94,337,446
112,Grand Canyon,23,10,13,.435,-5.15,-2.51,5,4,5,6,4,4,1608,1675,,925,565,1272,.444,138,427,.323,340,450,.756,173,751,269,110,29,265,370
113,Green Bay,26,12,14,.462,-5.97,-1.80,7,6,7,5,5,9,2105,2092,,1045,760,1669,.455,207,559,.370,378,508,.744,255,935,433,186,77,331,488
114,Hampton,24,11,13,.458,-13.62,-5.43,6,5,10,3,1,10,1888,1925,,970,669,1440,.465,137,422,.325,413,602,.686,258,887,359,130,106,307,468
115,Hartford,25,13,12,.520,-7.36,-5.40,6,4,7,6,6,6,1647,1670,,1000,581,1398,.416,182,554,.329,303,435,.697,191,847,316,187,62,335,435
116,Harvard,21,14,7,.667,2.78,-1.02,3,3,6,0,7,4,1540,1407,,850,556,1209,.460,154,451,.341,274,388,.706,211,781,259,143,110,297,378
